Организация,Ссылка,Адрес,Раздел,Категория,Тип,Отзывов,Заголовок,Отзыв,Тег,Оценка,Дата посещения,Дата отзыва,Количество лайков,Имя,Профиль,Количество подписок,Количество подписчиков,Количество публикаций,Количество блаодарностей,Критик уровня,Количество посещенных городов,Место проживания,Год регистрации
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,3 звезды,"Отель имеет отличное расположение в самом центре города. Большое количество номеров. Все чисто номер хорошо убирают претензии по качеству уборки нет. Сама наполнение номера скромная соответствуют трём звездам. Соответственно не будет мне дополнительно халатов и тапочек или сейфа в номере. Есть два пакетика чая нет самого чайника кулер в коридоре что не очень удобно. Завтрак скромный стандартный: сосиски, омлет, лёгкие закуски и немного выпечки. Подойдёт для командировочных кто хочет жить в центре. Цена на мой взгляд несколько завышена. Оценка 3+.",,3,август 2019 г.,авг. 2019 г.,1,steelrat747,https://www.tripadvisor.ru/Profile/steelrat747,0,0,575,72,6,39,"Москва, Россия",апр. 2013 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Отличный отель,"В отеле порадовало всё: расположение - в самом центре города, чистота, уют, размер номера (просторный и светлый), отсутствие шума, превосходные завтраки, в общем - всё! Если поеду в Пермь снова - остановлюсь только здесь. Да, особым сюрпризом стал подарок на день рождения девушке - коллеге: коробка конфет и бутылочка вина! Это было круто!!!",,5,июнь 2019 г.,июль 2019 г.,0,Lyubov002,https://www.tripadvisor.ru/Profile/Lyubov002,1,1,85,41,5,90,"Екатеринбург, Россия",июнь 2012 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Отличный отель.,Отель удобно расположен в самом центре города. Комфортный и безупречно чистый и очень просторный. Есть кондиционер. Красивый вид из окна. Вкусные завтраки. Приветливый персонал. Обязательно вернусь сюда.,,5,июнь 2019 г.,отзыв июль 2019,0,Константин Биушкин,https://www.tripadvisor.ru/Profile/KBiushkin,0,0,14,0,2,4,"Челябинск, Россия",апр. 2019 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Очень слабо,"По цене ожидаешь что-то похожее на Парк Инн Екатеринбурга, но, увы! Как-то привык к тапочкам в номере за 5000 рублей/сутки. И абсолютно необъяснимо- в номере чашка с 2 пакетиками чая, но чайника нет! Номер очень маленький. Да и кровать односпальная. Очень оживлённая улица перед отелем, так что на ночь окно не откроешь. Расположение действительно в центре города.",,3,июль 2019 г.,июль 2019 г.,0,Михаил,https://www.tripadvisor.ru/Profile/Mikhail-vin,0,0,61,46,5,166,"Moscow, Moscow City, Russia",сент. 2012 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Хорошая гостиница,"Прекрасное месторасположение - центр города, 10 минут до набережной, рядом торговые центры, кинотеатры, музеи, органный зал и т. Д. Очень комфортный номер. Интернет в любом месте здания. Завтрак прекрасно разнообразные #шведсткийстол. Ужин комплекс.  Халатов, тапочек нет. Гладильная комната на этаже - мне очень пригодилась. В гостинице много конференц-залов, есть спа и фитнесс, жаль что часы работы совпадают с часами работы...  Спасибо за комфорт и сервис.",,4,июнь 2019 г.,отзыв июнь 2019,0,Анна Ц,https://www.tripadvisor.ru/Profile/Happiness385958,0,5,23,9,3,49,"Томск, Россия",сент. 2012 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Хорошая гостиница в центре Перми,"Хорошая гостиница в центре перми, номера вполне соответствуют современности, возможно есть очень дешевые где все еще совок, но я их не видела на сайте.Отличный холл и кафе со вкусным кофе. Рядом все магазины, банк и пешеходные маршруты",,5,октябрь 2018 г.,июнь 2019 г.,0,An-Shi84,https://www.tripadvisor.ru/Profile/An-Shi84,4,0,122,59,6,22,"Пермь, Россия",нояб. 2016 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Напоминание о суровом крае,"Несмотря на суровое советское прошлое и возраст , отель старательно хранит чистоту и поддерживает состояние здания. Он не нов, но возраст с лихвой компенсируется разумными ценами, центром города , услужливым персоналом. Неплохой завтрак, бар на первом этаже для деловых встреч, сувенирные ларечки на этажах. То что надо для невзыскательного командировочного))",,4,февраль 2019 г.,отзыв май 2019,1,Don Karlo,https://www.tripadvisor.ru/Profile/KATO1969,0,1,63,109,5,59,"Санкт-Петербург, Россия",авг. 2012 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Отлично!,"Очень хороший отель, один из лучших ресторанов в городе, шикарная сауна-хамам с бассейном, большой спектр услуг, в т.ч. спа центр. Просторные номера, одни положительные эмоции!!! Рядом достопримечательности - Пермский медведь, Солёные уши.",,5,март 2019 г.,март 2019 г.,0,evp395,https://www.tripadvisor.ru/Profile/evp395,0,0,308,88,6,28,,дек. 2015 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Гостиница «а-ля семейное общежитие»,"Возможно это мне так «повезло» с номером и этажом, по которому бегают толпы орущих во весь голос детей.  А уж какие раритеты я обнаружила в номере, давно ничего подобного в гостиницах не встречала - смотрите на фото.",,2,март 2019 г.,отзыв март 2019,0,Julia K,https://www.tripadvisor.ru/Profile/L1810SEjuliak,0,1,65,9,4,8,"Санкт-Петербург, Россия",февр. 2017 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Урал,"Дважды за месяц тут останавливался, причем оба раза ездил в командировку с подругой, очень все порадовало, отличный сервис, бюджетно, первый раз дали завтрак в подарок, вполне сытный с хорошим выбором. В центре города, все в шаговой доступности.",,5,февраль 2019 г.,отзыв февр. 2019,1,Михаил Клепиков,https://www.tripadvisor.ru/Profile/mikhail-19871212,0,1,8,7,2,2,"Челябинск, Россия",февр. 2019 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Хороший отель в центре,"Отель расположен в центре, от аэропорта на такси можно доехать за полчаса. Отель большой, с парковкой, рядом памятники, напротив - ЦУМ. Сотрудники на ресепшн приветливые, номера чистые, есть все необходимое. Бесплатный вай-фай, на этаже бойлер с питьевой водой и гладильная комната. Очень хорошие и разнообразные завтраки (шведский стол).",,5,январь 2019 г.,февр. 2019 г.,0,Robert_Lokamp,https://www.tripadvisor.ru/Profile/Robert_Lokamp,2,0,544,174,6,56,"Москва, Россия",нояб. 2016 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Гостиница в центре Перми,"Гостиница расположена в центре города, рядом удобная парковка для личного транспорта.В комнате вечером темновато. Номер был небольшой, но уютный. Персонал в ресторане и на стойке регистрации был очень любезным и дружелюбным. Завтрак ""шведский стол"" - разнообразно,вкусно. Ночевали одну ночь в июне 2006 г.",,5,январь 2019 г.,отзыв янв. 2019,0,Tatiana N,https://www.tripadvisor.ru/Profile/TatianaN719,0,0,243,65,6,89,"Санкт-Петербург, Россия",июль 2012 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Титаник,"Этот корабль никак не может «утонуть» с советских времён, в них до сих пор и прозябает. Гостиница для парт.актива. Номера не большие, обслуживание и кухня средние. Один плюс что в центре. Подойдёт для командированными которым не до сервиса.",,3,февраль 2018 г.,янв. 2019 г.,1,560sergeiii,https://www.tripadvisor.ru/Profile/560sergeiii,0,0,85,138,5,14,"Москва, Россия",окт. 2018 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Большая гостиница в центре,"БРОНИРОВАНИЕ Онлайн, через популярный сервис бронирования.  ПАРКОВКА. Имеется. В том числе непосредственно рядом со зданием отеля. Парковка никак не охраняется, но улица не проходная - имеются шлагбаумы.  ЛОББИ. Стойка регистрации отеля находится на первом этаже, слева от входных дверей. Стойка рассчитана на несколько сотрудников, но в 22:00 местного времени был только один. Поэтому из трёх человек получилась очередь. Думаю этот вопрос стоит обдумать и выводить, по мере необходимости, дополнительного сотрудника, не заставляя людей ""с дороги"" в вечернее время ожидать пока других гостей зарегистрируют.  ПЕРСОНАЛ. Контактировать пришлось только с сотрудником стойки регистрации. Спокойная но медлительная девушка. Простой процесс регистрации занял почти 10 минут. Понять причину медлительности я не смог. Видимо она всегда такая. Возможно устала, но почему должны от этого страдать гости?  НОМЕР 04.12.18 номер c одной кроватью, при заселении одного человека, стоил 2804 руб. Комната была на 8 этаже. Вид из окна во внутренний двор. + Ярлык ""не беспокоить"" присутствовал; + Кулер с питьевой водой на этаже; + Питьевая вода; + Отдельное полотенце на пол; - Мотивирующая табличка, говорящая об рациональном использовании полотенец; - Отсутствуют бесплатные тапочки; - Не полный рулон туалетной бумаги.  УБОРКА В НОМЕРЕ При заселении номер был чист. Бельё на кровати чистое, но мятое. Проглажено не очень хорошо. Матрас с незначительными загрязнениями. Санузел чист, но имеются посторонние запахи. Ванная на ощупь была какая-то скользкая, как в масле. Пользоваться ей не рискнул. Просить замену номера ночью уже не хотелось.  ПИТАНИЕ Завтрак проходит в цокольном этаже. Ассортимент ограничен, но стандартный набор имеется. На заказ могут пожарить глазунью. Кофе очень и очень ""средний"".  ЛОКАЦИЯ Из аэропорта Перми дорога до гостиницы занимает примерно 45 минут, от железнодорожного вокзала около 15 минут. В ""час-пик"" движение затрудняется.",,3,декабрь 2018 г.,отзыв дек. 2018,0,Константин А,https://www.tripadvisor.ru/Profile/Z6491MY_,0,0,1 158,237,6,36,"Киров, Россия",окт. 2015 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,"Хуже, чем в Азии","По существу: чистая только постель. Гостиница большая, номер махонький (цена не соответствует качеству), и грязный. Ещё минус-ванна, а не душевая кабинка, это же ужасно, страшно встать в неё. Ещё и холодно. Завтраки ужасные, омлетом можно постучать, как камнем. В Азии и то чище. А ещё, попробуй найди розетку...",,2,сентябрь 2018 г.,нояб. 2018 г.,0,Olga_Oxoxo,https://www.tripadvisor.ru/Profile/Olga_Oxoxo,0,0,33,9,4,7,,июнь 2012 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Уютный отель в самом центре,"Отель соответствовал ожиданиям. Отличное месторасполодение отеля. В центре города, с хорошей транспортной развящкой. Номер понравился, все было исправно, все работало, казался свежим, мы подумали, что после ремонта. В баре очень понравился официант: был внимателен, быстр, предлагал разные блюда, хорошо зная их вкус и время приготовления. Завтрак был вроде бы разнообразен, но для себя мало чего нашла. В целом, отель оставил очень приятное впечатление. Будем останавливаться и в будущем и другим посоветуем",,5,ноябрь 2018 г.,отзыв нояб. 2018,1,Валентина К,https://www.tripadvisor.ru/Profile/_F8735WZ,0,0,11,16,2,15,"Ижевск, Россия",авг. 2016 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Обстановка и сервис из СССР,"Останавливалась на одну ночь во время командировки. Гостиница словно застыла во времени. Холл производит обманчиво приятное впечатление: свежий ремонт, робот, который делает фотографии (и не отправляет их, кстати, по указанному адресу, что очень обидно), стекло, камень, блеск, красивые лифты. А потом ты заходишь в номер и попадаешь в прошлое. Словно ты в советском санатории. С убогой обстановкой можно было бы смириться, но в душе меня ждала только холодная вода. Горячей воды не было в принципе. На мой звонок на ресепшен я получила отличную реакцию: «и что?». После получасового выяснения отношений с крайне неприятными девушками на ресепшен номер мне сменили, но неприятный осадок остался. Книгу жалоб мне дать отказались, якобы она где-то у руководства. Единственное достоинство номера – просторность. Все остальное – на троечку. Не особо чисто, неудобная кровать, подушка комками, тесная ванная, ничего нет (кроме шампуня и мыла). Завтрак съедобный, вкусным не назовёшь, но и не совсем плохой. Во время завтрака крутят фильм про бандитов, так что наслаждаться кофе и кашей предполагается под звуки выстрелов и нецензурную брань. Зато местоположение у отеля –лучше и не пожелаешь. Набережная в пешей доступности, все основные достопримечательности тоже рядом. Рядом масса шикарных ресторанчиков, куда можно сходить на ужин. В целом, отель на троечку. Второй раз приезжать туда не хочется, а ведь желание вернуться - лучший показатель качества размещения.",,3,сентябрь 2018 г.,отзыв сент. 2018,2,Eugenia M,https://www.tripadvisor.ru/Profile/EugeniaR469,0,0,42,45,4,15,"Saint Petersburg, Saint Petersburg City, Russia",март 2013 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Командировка в Пермь,"Отель Урал хорошо подходит для деловых встреч.Удобно расположенный старый отель,не далеко от центра.В отеле есть магазинчик красивых сувениров из селенита и дерева. Номера чистые,тихо,wi-fi хороший. Отель стандартные 3 звезды. Завтрак обычный стандартный. Для работы в командировке подходит.",,4,март 2018 г.,отзыв сент. 2018,0,Elena V,https://www.tripadvisor.ru/Profile/elenavA7502AB,0,1,18,19,3,11,"Новосибирск, Россия",май 2016 г.
Урал Ural,https://www.tripadvisor.ru/Hotel_Review-g298516-d579116-Reviews-Ural-Perm_Perm_Krai_Volga_District.html,"ул. Ленина, 58, Пермь 614000 Россия",Отели,Отели,Отели,501,Обычный советский отель,"Несколько раз останавливался в данном отеле пр поездке в командировку. Расположение очень удачнте - самый центп города. Большое фойе при входе. Госкприимный персонал но без огонька в глазах. Внутреннее убранство номеров из советской эпохи. В общем если только переночевать, то вполне себе. За такие деньги очень нормальный отель. На завтрак неплохой выбор блюд. Правда убранство ресторана вызывает двоякок впечатление(( какая то бесвкусица.",,4,февраль 2018 г.,отзыв авг. 2018,0,Дмитрий Т,https://www.tripadvisor.ru/Profile/_F6639OC,0,0,33,37,4,11,"Москва, Россия",нояб. 2014 г.
